,raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover.1,cloud_base_ft_agl.1,sky_cover.2,cloud_base_ft_agl.2,sky_cover.3,cloud_base_ft_agl.3,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
90,ENTO 091250Z 19010KT 9999 BKN004 OVC006 13/13 Q0989 TEMPO BKN010,ENTO,2024-10-09T12:50:00Z,59.184,10.255,13.0,13.0,190,10.0,,6+,29.2,,,,,,,,,,,BKN,400.0,OVC,600.0,,,,,LIFR,,,,,,,,,,,,METAR,84.0
91,ENTC 091250Z 05003KT 010V110 9999 -SHRA SCT032 BKN041 08/03 Q0998 NOSIG RMK WIND 2600FT 17031KT,ENTC,2024-10-09T12:50:00Z,69.675,18.916,8.0,3.0,50,3.0,,6+,29.47,,,,,,True,,,,-SHRA,SCT,3200.0,BKN,4100.0,,,,,VFR,,,,,,,,,,,,METAR,9.0
92,ENRY 091250Z 18009KT 150V210 7000 -RA VV005 13/12 Q0990 NOSIG,ENRY,2024-10-09T12:50:00Z,59.381,10.783,13.0,12.0,180,9.0,,4.35,29.23,,,,,,True,,,,-RA,OVX,0.0,,,,,,,IFR,,,,,,,,,,,500.0,METAR,45.0
93,ENRO 091250Z 13009KT 9999 FEW010 BKN028 09/07 Q0988,ENRO,2024-10-09T12:50:00Z,62.578,11.342,9.0,7.0,130,9.0,,6+,29.17,,,,,,,,,,,FEW,1000.0,BKN,2800.0,,,,,MVFR,,,,,,,,,,,,METAR,624.0
94,ENOL 091250Z 33007KT 9999 -RA FEW010 BKN023 11/09 Q0988 TEMPO BKN010,ENOL,2024-10-09T12:50:00Z,63.703,9.609,11.0,9.0,330,7.0,,6+,29.17,,,,,,,,,,-RA,FEW,1000.0,BKN,2300.0,,,,,MVFR,,,,,,,,,,,,METAR,9.0
95,ENHD 091250Z 14017KT 3000 BR DZ SCT002 BKN004 12/11 Q0984,ENHD,2024-10-09T12:50:00Z,59.341,5.22,12.0,11.0,140,17.0,,1.86,29.06,,,,,,,,,,BR DZ,SCT,200.0,BKN,400.0,,,,,LIFR,,,,,,,,,,,,METAR,22.0
96,ENGM 091250Z 16005KT 9999 2800SE -RADZ VCFG FEW012 BKN018 13/10 Q0989 TEMPO 3000 DZRA BR,ENGM,2024-10-09T12:50:00Z,60.201,11.08,13.0,10.0,160,5.0,,6+,29.2,,,,,,,,,,VCFG -RA DZ,FEW,1200.0,BKN,1800.0,,,,,MVFR,,,,,,,,,,,,METAR,204.0
97,ENDU 091250Z 11008KT 010V140 9999 FEW030 BKN055 08/02 Q0998 TEMPO 11015G25KT RMK WIND 1100FT 05004KT WIND 2200FT 15025KT,ENDU,2024-10-09T12:50:00Z,69.058,18.544,8.0,2.0,110,8.0,,6+,29.47,,,,,,,,,,,FEW,3000.0,BKN,5500.0,,,,,VFR,,-1.5,,,,,,,,,,METAR,65.0
98,ENCN 091250Z 19008KT 9999 -RA BKN006 13/12 Q0988,ENCN,2024-10-09T12:50:00Z,58.2,8.077,13.0,12.0,190,8.0,,6+,29.17,,,,,,,,,,-RA,BKN,600.0,,,,,,,IFR,,,,,,,,,,,,METAR,17.0
99,ENBR 091250Z 01004KT 9999 -DZ FEW008 SCT015 BKN025 12/10 Q0987 RMK WIND 1200FT 03009KT,ENBR,2024-10-09T12:50:00Z,60.29,5.222,12.0,10.0,10,4.0,,6+,29.14,,,,,,,,,,-DZ,FEW,800.0,SCT,1500.0,BKN,2500.0,,,MVFR,,,,,,,,,,,,METAR,49.0
100,ENBO 091250Z VRB02KT 9999 SCT050 BKN065 07/07 Q0993 BECMG 14015KT,ENBO,2024-10-09T12:50:00Z,67.267,14.359,7.0,7.0,VRB,2.0,,6+,29.32,,,,,,,,,,,SCT,5000.0,BKN,6500.0,,,,,VFR,,,,,,,,,,,,METAR,13.0
101,ENAN 091250Z 10011KT 9999 -RA FEW013 BKN027 07/05 Q0996,ENAN,2024-10-09T12:50:00Z,69.307,16.131,7.0,5.0,100,11.0,,6+,29.41,,,,,,,,,,-RA,FEW,1300.0,BKN,2700.0,,,,,MVFR,,,,,,,,,,,,METAR,13.0
102,ENAL 091250Z 02022KT 9000 -RA SCT015 BKN021 07/05 Q0991,ENAL,2024-10-09T12:50:00Z,62.562,6.115,7.0,5.0,20,22.0,,5.59,29.26,,,,,,,,,,-RA,SCT,1500.0,BKN,2100.0,,,,,MVFR,,,,,,,,,,,,METAR,21.0
103,EKVG 091250Z AUTO 34022KT 9999 FEW017/// BKN038/// BKN077/// 05/M00 Q1008 RMK BKN024/// WIND SKEID 36028G40KT,EKVG,2024-10-09T12:50:00Z,62.065,-7.282,5.0,0.0,340,22.0,,6+,29.76,,,True,,,,,,,,FEW,1700.0,BKN,3800.0,BKN,7700.0,,,VFR,,,,,,,,,,,,METAR,89.0
104,EKSP 091250Z 19007KT 9999 SCT010 BKN035 15/12 Q0990 TEMPO 4000 -SHRA SCT025CB,EKSP,2024-10-09T12:50:00Z,55.225,9.263,15.0,12.0,190,7.0,,6+,29.23,,,,,,,,,,,SCT,1000.0,BKN,3500.0,,,,,VFR,,,,,,,,,,,,METAR,40.0
105,EKKA 091250Z AUTO 17007KT 150V210 9999 BKN012/// OVC047/// 15/12 Q0989 TEMPO BKN020,EKKA,2024-10-09T12:50:00Z,56.293,9.114,15.0,12.0,170,7.0,,6+,29.2,,,True,,,,,,,,BKN,1200.0,OVC,4700.0,,,,,MVFR,,,,,,,,,,,,METAR,50.0
106,EFVA 091250Z AUTO 11011KT 070V130 9999 RA OVC009 07/05 Q0999,EFVA,2024-10-09T12:50:00Z,63.051,21.762,7.0,5.0,110,11.0,,6+,29.5,,,True,,,,,,,RA,OVC,900.0,,,,,,,IFR,,,,,,,,,,,,METAR,4.0
107,EFTU 091250Z AUTO 12015G28KT 9999 RA OVC009 09/08 Q0996,EFTU,2024-10-09T12:50:00Z,60.514,22.263,9.0,8.0,120,15.0,28.0,6+,29.41,,,True,,,,,,,RA,OVC,900.0,,,,,,,IFR,,,,,,,,,,,,METAR,47.0
108,EFTP 091250Z AUTO 12016KT 090V160 9999 -RA OVC008 08/07 Q1000,EFTP,2024-10-09T12:50:00Z,61.419,23.616,8.0,7.0,120,16.0,,6+,29.53,,,True,,,,,,,-RA,OVC,800.0,,,,,,,IFR,,,,,,,,,,,,METAR,111.0
109,EFRO 091250Z AUTO 13012KT 9999 FEW019 02/M02 Q1010,EFRO,2024-10-09T12:50:00Z,66.562,25.829,2.0,-2.0,130,12.0,,6+,29.82,,,True,,,,,,,,FEW,1900.0,,,,,,,VFR,,,,,,,,,,,,METAR,201.0
110,EFOU 091250Z AUTO 14015KT 9999 BKN021 05/00 Q1009,EFOU,2024-10-09T12:50:00Z,64.93,25.355,5.0,0.0,140,15.0,,6+,29.79,,,True,,,,,,,,BKN,2100.0,,,,,,,MVFR,,,,,,,,,,,,METAR,15.0
111,EFMA 091250Z AUTO 15014KT 8000 RA OVC005 12/12 Q0992,EFMA,2024-10-09T12:50:00Z,60.125,19.903,12.0,12.0,150,14.0,,4.97,29.29,,,True,,,,,,,RA,OVC,500.0,,,,,,,IFR,,,,,,,,,,,,METAR,6.0
112,EFIV 091250Z AUTO 17010G21KT 140V210 CAVOK 03/M04 Q1012,EFIV,2024-10-09T12:50:00Z,68.607,27.405,3.0,-4.0,170,10.0,21.0,6+,29.88,,,True,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,145.0
113,EFHK 091250Z 09021G32KT 9999 -RA BKN008 09/08 Q1002 TEMPO BKN012,EFHK,2024-10-09T12:50:00Z,60.327,24.957,9.0,8.0,90,21.0,32.0,6+,29.59,,,,,,,,,,-RA,BKN,800.0,,,,,,,IFR,,,,,,,,,,,,METAR,56.0
114,EETU 091250Z 12016KT 9999 FEW015 SCT042 09/05 Q1004,EETU,2024-10-09T12:50:00Z,58.307,26.691,9.0,5.0,120,16.0,,6+,29.65,,,,,,,,,,,FEW,1500.0,SCT,4200.0,,,,,VFR,,,,,,,,,,,,METAR,67.0
115,EETN 091250Z 12018G28KT 9999 -RA SCT045 09/06 Q1000 BECMG 5000 RA,EETN,2024-10-09T12:50:00Z,59.413,24.801,9.0,6.0,120,18.0,28.0,6+,29.53,,,,,,,,,,-RA,SCT,4500.0,,,,,,,VFR,,,,,,,,,,,,METAR,41.0
116,EEPU 091250Z AUTO 11012G26KT 080V140 9999 -RA FEW023/// OVC035/// 10/08 Q0999,EEPU,2024-10-09T12:50:00Z,58.419,24.473,10.0,8.0,110,12.0,26.0,6+,29.5,,,True,,,,,,,-RA,FEW,2300.0,OVC,3500.0,,,,,VFR,,,,,,,,,,,,METAR,13.0
117,EEKE 091250Z 16022KT 7000 RA OVC008 13/12 Q0996,EEKE,2024-10-09T12:50:00Z,58.23,22.509,13.0,12.0,160,22.0,,4.35,29.41,,,,,,,,,,RA,OVC,800.0,,,,,,,IFR,,,,,,,,,,,,METAR,4.0
118,EEKA 091250Z 13018KT 9000 RA OVC011 11/09 Q0996,EEKA,2024-10-09T12:50:00Z,58.991,22.831,11.0,9.0,130,18.0,,5.59,29.41,,,,,,,,,,RA,OVC,1100.0,,,,,,,MVFR,,,,,,,,,,,,METAR,6.0
119,CYYD 091250Z AUTO 00000KT 9SM BKN043 OVC050 03/02 A2984 RMK SLP122,CYYD,2024-10-09T12:50:00Z,54.823,-127.185,3.0,2.0,0,0.0,,9,29.84,1012.2,,True,,,,,,,,BKN,4300.0,OVC,5000.0,,,,,VFR,,,,,,,,,,,,SPECI,527.0
120,CYDB 091250Z AUTO 29005KT 2 1/2SM -SN SCT013 OVC021 M00/M01 A2955 RMK VIS VRB 1 3/4-3 SLP049,CYDB,2024-10-09T12:50:00Z,61.37,-139.032,0.0,-1.0,290,5.0,,2.5,29.55,1004.9,,True,,,,,,,-SN,SCT,1300.0,OVC,2100.0,,,,,IFR,,,,,,,,,,,,SPECI,807.0
121,PFZK 091249Z AUTO 13003KT 4SM -SN BR FEW009 BKN030 OVC036 M01/M02 A2978 RMK AO2 UPE1158SNB1158 P0000 FZRANO TSNO,PFZK,2024-10-09T12:49:00Z,60.9156,-161.488,-1.0,-2.0,130,3.0,,4,29.78,,,True,True,,,True,True,,-SN BR,FEW,900.0,BKN,3000.0,OVC,3600.0,,,MVFR,,,,,,0.005,,,,,,SPECI,16.0
122,PAWS 091249Z AUTO 00000KT 2SM UP BR OVC100 02/02 A2962 RMK AO2 RAB36E47UPB47 P0000 FZRANO,PAWS,2024-10-09T12:49:00Z,61.571,-149.538,2.0,2.0,0,0.0,,2,29.62,,,True,True,,,,True,,BR UP,OVC,10000.0,,,,,,,IFR,,,,,,0.005,,,,,,SPECI,102.0
123,PACM 091249Z AUTO 13009KT 10SM OVC010 01/01 A2976 RMK AO2 FZRANO,PACM,2024-10-09T12:49:00Z,61.846,-165.579,1.0,1.0,130,9.0,,10+,29.76,,,True,True,,,,True,,,OVC,1000.0,,,,,,,MVFR,,,,,,,,,,,,SPECI,3.0
124,KIJD 091249Z AUTO 00000KT 1SM BR BKN001 OVC100 07/07 A2992 RMK AO2,KIJD,2024-10-09T12:49:00Z,41.7425,-72.1825,7.0,7.0,0,0.0,,1,29.92,,,True,True,,,,,,BR,BKN,100.0,OVC,10000.0,,,,,LIFR,,,,,,,,,,,,SPECI,73.0
125,KFME 091249Z AUTO 00000KT 10SM CLR 07/07 A3001 RMK AO1,KFME,2024-10-09T12:49:00Z,39.086,-76.757,7.0,7.0,0,0.0,,10+,30.01,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,43.0
126,KDWU 091249Z AUTO 00000KT 4SM HZ BKN002 08/ A3011 RMK AO2,KDWU,2024-10-09T12:49:00Z,38.556,-82.7375,8.0,,0,0.0,,4,30.11,,,True,True,,,,,,HZ,BKN,200.0,,,,,,,LIFR,,,,,,,,,,,,SPECI,165.0
127,KBKB 091249Z AUTO 00000KT 10SM CLR 13/09 A2997 RMK AO2 SLP177 T01330089,KBKB,2024-10-09T12:49:00Z,31.022,-92.911,13.3,8.9,0,0.0,,10+,29.97,1017.7,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,74.0
128,CYEG 091249Z 24005KT 20SM -SHRA SCT060 BKN080 OVC100 06/02 A2993 RMK SC3AC3AS2 CVCTV CLD EMBD SLP153,CYEG,2024-10-09T12:49:00Z,53.308,-113.592,6.0,2.0,240,5.0,,20,29.93,1015.3,,,,,,,,,-SHRA,SCT,6000.0,BKN,8000.0,OVC,10000.0,,,VFR,,,,,,,,,,,,SPECI,710.0
129,PFTO 091248Z AUTO 00000KT 3SM -RA BR SCT003 OVC015 01/00 A2961 RMK AO2 P0000 FZRANO $,PFTO,2024-10-09T12:48:00Z,63.329,-142.954,1.0,0.0,0,0.0,,3,29.61,,,True,True,True,,,True,,-RA BR,SCT,300.0,OVC,1500.0,,,,,MVFR,,,,,,0.005,,,,,,SPECI,500.0
130,PARY 091248Z AUTO 26006KT 10SM SCT013 OVC041 M02/M04 A2974 RMK AO2 FZRANO TSNO,PARY,2024-10-09T12:48:00Z,64.731,-155.463,-2.0,-4.0,260,6.0,,10+,29.74,,,True,True,,,True,True,,,SCT,1300.0,OVC,4100.0,,,,,VFR,,,,,,,,,,,,SPECI,185.0
131,LEAS 091248Z 29027G38KT 1200 R29/P2000 R11/1900D RA BR BKN003 BKN010 15/15 Q0995 NOSIG,LEAS,2024-10-09T12:48:00Z,43.567,-6.044,15.0,15.0,290,27.0,38.0,0.75,29.38,,,,,,True,,,,RA BR,BKN,300.0,BKN,1000.0,,,,,LIFR,,,,,,,,,,,,SPECI,120.0
132,KSPG 091248Z AUTO 05018KT 2SM +RA BR SCT011 BKN042 OVC085 26/25 A2970 RMK AO2 PK WND 05028/1217 P0024,KSPG,2024-10-09T12:48:00Z,27.7685,-82.6257,26.0,25.0,50,18.0,,2,29.7,,,True,True,,,,,,+RA BR,SCT,1100.0,BKN,4200.0,OVC,8500.0,,,IFR,,,,,,0.24,,,,,,SPECI,1.0
133,KPIE 091248Z AUTO 06013G25KT 4SM RA BR SCT008 BKN060 OVC075 25/24 A2971 RMK AO2 PK WND 06026/1233 SLP060 P0015 T02500244,KPIE,2024-10-09T12:48:00Z,27.9126,-82.6855,25.0,24.4,60,13.0,25.0,4,29.71,1006.0,,True,True,,,,,,RA BR,SCT,800.0,BKN,6000.0,OVC,7500.0,,,MVFR,,,,,,0.15,,,,,,METAR,1.0
134,KJDN 091248Z AUTO 29005KT 08/00 A2995 RMK AO1 SLP146 T00830000,KJDN,2024-10-09T12:48:00Z,47.3259,-106.949,8.3,0.0,290,5.0,,,29.95,1014.6,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,802.0
135,KHNB 091248Z AUTO 00000KT 1 3/4SM BR CLR 08/08 A3012 RMK AO2,KHNB,2024-10-09T12:48:00Z,38.2505,-86.9473,8.0,8.0,0,0.0,,1.75,30.12,,,True,True,,,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,SPECI,159.0
136,KCRQ 091248Z AUTO 00000KT 1 3/4SM BR OVC001 15/15 A2991 RMK AO2,KCRQ,2024-10-09T12:48:00Z,33.1299,-117.277,15.0,15.0,0,0.0,,1.75,29.91,,,True,True,,,,,,BR,OVC,100.0,,,,,,,LIFR,,,,,,,,,,,,SPECI,96.0
137,KASG 091248Z 09004KT 10SM CLR 11/08 A3011,KASG,2024-10-09T12:48:00Z,36.1802,-94.1176,11.0,8.0,90,4.0,,10+,30.11,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,410.0
138,CYAH 091248Z AUTO 00000KT 1 3/4SM -RA BR OVC003 03/03 A2989 RMK SLP139,CYAH,2024-10-09T12:48:00Z,53.757,-73.676,3.0,3.0,0,0.0,,1.75,29.89,1013.9,,True,,,,,,,-RA BR,OVC,300.0,,,,,,,LIFR,,,,,,,,,,,,SPECI,298.0
139,KTIX 091247Z 10005KT 7SM -RA BKN015 27/24 A2981,KTIX,2024-10-09T12:47:00Z,28.508,-80.798,27.0,24.0,100,5.0,,7,29.81,,,,,,,,,,-RA,BKN,1500.0,,,,,,,MVFR,,,,,,,,,,,,METAR,10.0
140,KSUA 091247Z 10010G16KT 7SM SCT017 BKN036 28/26 A2976,KSUA,2024-10-09T12:47:00Z,27.1815,-80.2252,28.0,26.0,100,10.0,16.0,7,29.76,,,,,,,,,,,SCT,1700.0,BKN,3600.0,,,,,VFR,,,,,,,,,,,,METAR,4.0
141,KSMP 091247Z AUTO VRB05KT 1SM BR BKN002 BKN007 OVC011 09/09 RMK AO2 T00890089 $,KSMP,2024-10-09T12:47:00Z,47.2764,-121.338,8.9,8.9,VRB,5.0,,1,0.0,,,True,True,True,,,,,BR,BKN,200.0,BKN,700.0,OVC,1100.0,,,LIFR,,,,,,,,,,,,SPECI,1206.0
142,KSAW 091247Z 33004KT 10SM CLR 01/M01 A3010,KSAW,2024-10-09T12:47:00Z,46.341,-87.395,1.0,-1.0,330,4.0,,10+,30.1,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,359.0
143,KPOB 091247Z AUTO 00000KT 10SM CLR 13/11 A3004 RMK AO2 SLP175 $,KPOB,2024-10-09T12:47:00Z,35.175,-79.008,13.0,11.0,0,0.0,,10+,30.04,1017.5,,True,True,True,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,57.0
144,KHSA 091247Z 00000KT 10SM CLR 17/14 A2990,KHSA,2024-10-09T12:47:00Z,30.3765,-89.4554,17.0,14.0,0,0.0,,10+,29.9,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
145,KGYH 091247Z 05007KT 10SM CLR 16/12 A3006,KGYH,2024-10-09T12:47:00Z,34.763,-82.375,16.0,12.0,50,7.0,,10+,30.06,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,283.0
146,KGEU 091247Z 04005KT 10SM SCT200 24/01 A2985 RMK FIRST,KGEU,2024-10-09T12:47:00Z,33.528,-112.293,24.0,1.0,40,5.0,,10+,29.85,,,,,,,,,,,SCT,20000.0,,,,,,,VFR,,,,,,,,,,,,METAR,319.0
147,KFDK 091247Z 24006KT 10SM CLR 14/08 A2999,KFDK,2024-10-09T12:47:00Z,39.4177,-77.3696,14.0,8.0,240,6.0,,10+,29.99,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,82.0
148,KEVB 091247Z 14010G17KT 4SM -RA BR SCT008 BKN025 25/24 A2982,KEVB,2024-10-09T12:47:00Z,29.0568,-80.9491,25.0,24.0,140,10.0,17.0,4,29.82,,,,,,,,,,-RA BR,SCT,800.0,BKN,2500.0,,,,,MVFR,,,,,,,,,,,,METAR,2.0
149,KCWA 091247Z 04004KT 10SM CLR 03/01 A3012,KCWA,2024-10-09T12:47:00Z,44.7795,-89.671,3.0,1.0,40,4.0,,10+,30.12,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,387.0
150,KCHD 091247Z 00000KT 10SM CLR 23/06 A2988,KCHD,2024-10-09T12:47:00Z,33.2669,-111.809,23.0,6.0,0,0.0,,10+,29.88,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,378.0
151,KCFO 091247Z 22007KT 10SM CLR 13/M04 A3020,KCFO,2024-10-09T12:47:00Z,39.7948,-104.54,13.0,-4.0,220,7.0,,10+,30.2,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1672.0
152,KBVI 091247Z 00000KT 10SM SCT040 BKN047 09/05 A3003,KBVI,2024-10-09T12:47:00Z,40.7735,-80.3825,9.0,5.0,0,0.0,,10+,30.03,,,,,,,,,,,SCT,4000.0,BKN,4700.0,,,,,VFR,,,,,,,,,,,,METAR,387.0
153,KAQV 091247Z AUTO 00000KT 4SM BR CLR 11/09 A3001 RMK AO2 SLP161 T01060094,KAQV,2024-10-09T12:47:00Z,31.396,-93.297,10.6,9.4,0,0.0,,4,30.01,1016.1,,True,True,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,123.0
154,KAEG 091247Z 35003KT 10SM CLR 08/M08 A3026,KAEG,2024-10-09T12:47:00Z,35.15,-106.793,8.0,-8.0,350,3.0,,10+,30.26,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1771.0
155,CZUM 091247Z AUTO 08015G25KT 9SM FEW015 BKN024 OVC028 05/02 A2998 RMK SLP174,CZUM,2024-10-09T12:47:00Z,53.562,-64.107,5.0,2.0,80,15.0,25.0,9,29.98,1017.4,,True,,,,,,,,FEW,1500.0,BKN,2400.0,OVC,2800.0,,,MVFR,,,,,,,,,,,,SPECI,431.0
156,SARC 091246Z 19015G26KT 9000 BKN009 OVC013 20/18 Q1014,SARC,2024-10-09T12:46:00Z,-27.445,-58.762,20.0,18.0,190,15.0,26.0,5.59,29.94,,,,,,,,,,,BKN,900.0,OVC,1300.0,,,,,IFR,,,,,,,,,,,,SPECI,60.0
157,MMCN 091246Z 09004KT 10SM FEW100 25/23 A2986 RMK 8/030 HZY RTS,MMCN,2024-10-09T12:46:00Z,27.395,-109.837,25.0,23.0,90,4.0,,10+,29.86,,,,,,,,,,,FEW,10000.0,,,,,,,VFR,,,,,,,,,,,,METAR,57.0
158,KSUS 091246Z 00000KT 6SM BR BKN001 06/06 A3011 RMK AO2 T00610061,KSUS,2024-10-09T12:46:00Z,38.6575,-90.6557,6.1,6.1,0,0.0,,6,30.11,,,,True,,,,,,BR,BKN,100.0,,,,,,,LIFR,,,,,,,,,,,,SPECI,140.0
159,KOUN 091246Z 14009KT 10SM CLR 147/09 A3003 RMK LTG DSNT S,KOUN,2024-10-09T12:46:00Z,35.2436,-97.4713,47.0,9.0,140,9.0,,10+,30.03,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,359.0
160,KMFE 091246Z 36006KT 9SM CLR 22/20 A2997 RMK AO2 T02170200,KMFE,2024-10-09T12:46:00Z,26.1791,-98.2445,21.7,20.0,360,6.0,,9,29.97,,,,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,29.0
161,KLUK 091246Z 00000KT 1SM R21L/0800V1600FT BR VV003 08/08 A3012 RMK AO2 T00780078,KLUK,2024-10-09T12:46:00Z,39.106,-84.4161,7.8,7.8,0,0.0,,1,30.12,,,,True,,,,,,BR,OVX,0.0,,,,,,,LIFR,,,,,,,,,,,300.0,SPECI,144.0
162,KFVE 091246Z AUTO 00000KT 1 3/4SM BR SCT001 03/02 A2983 RMK AO2 VIS 3/4V5 T00280017 $,KFVE,2024-10-09T12:46:00Z,47.2852,-68.3072,2.8,1.7,0,0.0,,1.75,29.83,,,True,True,True,,,,,BR,SCT,100.0,,,,,,,IFR,,,,,,,,,,,,SPECI,299.0
163,ETOU 091246Z AUTO 18004KT 9999 -RA FEW018 FEW034 OVC048 14/12 A2933 RMK AO2 RAB05E34RAB46 SLP935 $,ETOU,2024-10-09T12:46:00Z,50.048,8.329,14.0,12.0,180,4.0,,6+,29.33,993.5,,True,True,True,,,,,-RA,FEW,1800.0,FEW,3400.0,OVC,4800.0,,,VFR,,,,,,,,,,,,SPECI,141.0
164,CYPO 091246Z AUTO 32007KT 1/4SM -RA FG VV003 06/06 A3008 RMK SLP188,CYPO,2024-10-09T12:46:00Z,54.988,-85.439,6.0,6.0,320,7.0,,0.25,30.08,1018.8,,True,,,,,,,-RA FG,OVX,0.0,,,,,,,LIFR,,,,,,,,,,,300.0,SPECI,49.0
165,ULLI 091245Z 12006MPS 100V160 9999 BKN016 05/02 Q1013 R10R/090060 NOSIG,ULLI,2024-10-09T12:45:00Z,59.798,30.267,5.0,2.0,120,12.0,,6+,29.91,,,,,,True,,,,,BKN,1600.0,,,,,,,MVFR,,,,,,,,,,,,SPECI,25.0
166,TJIG 091245Z 18005KT 10SM SCT030 SCT070 31/25 A2997,TJIG,2024-10-09T12:45:00Z,18.457,-66.094,31.0,25.0,180,5.0,,10+,29.97,,,,,,,,,,,SCT,3000.0,SCT,7000.0,,,,,VFR,,,,,,,,,,,,METAR,3.0
167,SGCO 091245Z 18004KT 2000 -RABR OVC012 22/22 Q1012 RETS,SGCO,2024-10-09T12:45:00Z,-23.438,-57.43,22.0,22.0,180,4.0,,1.24,29.88,,,,,,,,,,-RA BR,OVC,1200.0,,,,,,,IFR,,,,,,,,,,,,METAR,74.0
168,PASA 091245Z AUTO 09013KT 10SM -RA SCT015 BKN026 OVC080 02/01 A2978 RMK AO2 UPE45RAB45 P0000 FZRANO,PASA,2024-10-09T12:45:00Z,63.689,-170.49,2.0,1.0,90,13.0,,10+,29.78,,,True,True,,,,True,,-RA,SCT,1500.0,BKN,2600.0,OVC,8000.0,,,MVFR,,,,,,0.005,,,,,,SPECI,9.0
169,PALP 091245Z 24006KT 2SM BR OVC003 M02/M02 A2982,PALP,2024-10-09T12:45:00Z,70.348,-150.928,-2.0,-2.0,240,6.0,,2,29.82,,,,,,,,,,BR,OVC,300.0,,,,,,,LIFR,,,,,,,,,,,,METAR,4.0
170,PAKU 091245Z 25012KT 10SM R24/P6000FT BKN005 BKN034 M02/ A2981,PAKU,2024-10-09T12:45:00Z,70.331,-149.613,-2.0,,250,12.0,,10+,29.81,,,,,,,,,,,BKN,500.0,BKN,3400.0,,,,,IFR,,,,,,,,,,,,METAR,23.0
171,PAEH 091245Z AUTO 28014KT 210V020 10SM FEW010 SCT014 05/03 A2977 RMK AO2 SLP087 $,PAEH,2024-10-09T12:45:00Z,58.652,-162.062,5.0,3.0,280,14.0,,10+,29.77,1008.7,,True,True,True,,,,,,FEW,1000.0,SCT,1400.0,,,,,VFR,,,,,,,,,,,,SPECI,101.0
172,LMML 091245Z 32008KT 290V350 9999 FEW020 28/23 Q1013 NOSIG,LMML,2024-10-09T12:45:00Z,35.858,14.477,28.0,23.0,320,8.0,,6+,29.91,,,,,,True,,,,,FEW,2000.0,,,,,,,VFR,,,,,,,,,,,,METAR,78.0
173,LHSN 091245Z 19011KT 9999 FEW024 SCT083 22/16 Q1006 NOSIG RMK BLU,LHSN,2024-10-09T12:45:00Z,47.123,20.235,22.0,16.0,190,11.0,,6+,29.7,,,,,,True,,,,,FEW,2400.0,SCT,8300.0,,,,,VFR,,,,,,,,,,,,METAR,89.0
174,KXER 091245Z AUTO 36008G14KT 3SM HZ 26/20 A2986 RMK A01,KXER,2024-10-09T12:45:00Z,27.946,-90.997,26.0,20.0,360,8.0,14.0,3,29.86,,,True,True,,,,,,HZ,,,,,,,,,MVFR,,,,,,,,,,,,METAR,40.0
175,KW40 091245Z AUTO 01005KT 10SM CLR 14/12 A3004 RMK AO2 T01420123,KW40,2024-10-09T12:45:00Z,35.2211,-78.0404,14.2,12.3,10,5.0,,10+,30.04,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,50.0
176,KW29 091245Z AUTO 21007KT 10SM CLR 16/10 A2998 RMK AO2 T01620100,KW29,2024-10-09T12:45:00Z,38.9777,-76.3276,16.2,10.0,210,7.0,,10+,29.98,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1.0
